data_disponibilizacao;numero_processo;tribunal;tipo_extracao
2025-02-21;8118139820238140040;TJPA;geral
2025-02-21;577989420248179000;TJPE;geral
2025-02-21;8080084720218140028;TJPA;filtrado
2025-02-21;8005982020248100035;TJMA;geral
2025-02-21;95235820158100001;TJMA;geral
2025-02-21;10009916020185020320;TRT2;geral
2025-02-21;55276220188140057;TJPA;geral
2025-02-21;8001755920258150561;TJPB;geral
2025-02-21;4093020235220002;TRT22;geral
2025-02-21;8218390520238100029;TJMA;geral
2025-02-21;8039508120238205001;TJRN;geral
2025-02-21;8012516720238140060;TJPA;filtrado
2025-02-21;106556920235150135;TRT15;geral
2025-02-21;2419220255120048;TRT12;geral
2025-02-21;1012120235200011;TRT20;geral
2025-02-21;81188285820248050001;TJBA;geral
2025-02-21;00120420420215150002;TRT15;geral
2025-02-21;00001012120235200011;TRT20;geral
2025-02-21;00003430420245220103;TRT22;filtrado
2025-02-21;00113924720225150090;TRT15;geral
2025-02-21;00122882820215150122;TRT15;geral
2025-02-21;00004131220245220106;TRT22;filtrado
2025-02-21;00325476120208172001;TJPE;geral
2025-02-21;00004384620245220002;TRT22;filtrado
2025-02-21;54124763320248090007;TJGO;geral
2025-02-21;10005063120165020029;TRT2;geral
2025-02-21;54119835420248090137;TJGO;geral
2025-02-21;50022975720198080024;TJES;geral
2025-02-21;50017625920228090101;TJGO;geral
2025-02-21;00115725520235150146;TRT15;geral
2025-02-21;00013872120178100060;TJMA;geral
2025-02-21;10010030920205020707;TRT2;geral
2025-02-21;50526598820228090102;TJGO;geral
2025-02-21;00000076820235140002;TRT14;filtrado
2025-02-21;58241833020248090007;TJGO;geral
2025-02-21;08229996520238100029;TJMA;geral
2025-02-21;52238634620248090163;TJGO;geral
2025-02-21;00120710920225150135;TRT15;geral
2025-02-21;00011247620235140008;TRT14;filtrado
2025-02-21;50378716020248090050;TJGO;geral
2025-02-21;00120145120235150136;TRT15;geral
2025-02-21;00509639020248179000;TJPE;geral
2025-02-21;08022162520248100059;TJMA;filtrado
2025-02-21;00115610920235030098;TST;geral
2025-02-21;00001295420245140032;TRT14;filtrado
2025-02-21;00119143620235150059;TRT15;geral
2025-02-21;00009403520235140004;TRT14;filtrado
2025-02-21;08006616920238100006;TJMA;filtrado
2025-02-21;80000634520248050158;TJBA;geral
2025-02-21;53495034420248090071;TJGO;geral
2025-02-21;00000626220118200118;TJRN;geral
2025-02-21;00010086020235220004;TRT22;filtrado
2025-02-21;10007865420135020466;TRT2;geral
2025-02-21;02860471620218060001;TJCE;geral
2025-02-21;10002269720205020715;TRT2;geral
2025-02-21;00005603320175200011;TRT20;geral
2025-02-21;00002749120245140006;TRT14;filtrado
2025-02-21;01010728520205010063;TST;geral
2025-02-21;10002017720215020318;TRT2;geral
2025-02-21;08047628320248140401;TJPA;filtrado
2025-02-21;00003353220245140141;TRT14;filtrado
2025-02-21;08001764920228190040;TJRJ;geral
2025-02-21;08001408920248140035;TJPA;filtrado
2025-02-21;08019152320238190040;TJRJ;geral
2025-02-21;08006841220258100049;TJMA;geral
2025-02-21;08165345220248150001;TJPB;geral
2025-02-21;00006949820245210007;TRT21;geral
2025-02-21;00007408820245140005;TRT14;filtrado
2025-02-21;08023913920238100096;TJMA;geral
2025-02-21;00169352220178140401;TJPA;filtrado
2025-02-21;00004704220245220102;TRT22;filtrado
2025-02-21;08184572520228100001;TJMA;geral
2025-02-21;00009777020235100102;TST;geral
2025-02-21;50026783620244036338;TRF3;geral
2025-02-21;00005104920245140004;TRT14;filtrado
2025-02-21;00001707720245220006;TRT22;filtrado
2025-02-21;00122759620235150077;TRT15;geral
2025-02-21;00009499820225140402;TRT14;filtrado
2025-02-21;10010432820175020082;TST;geral
2025-02-21;80008921520248050000;TJBA;geral
2025-02-21;80011055620238050226;TJBA;geral
2025-02-21;00122423920215150122;TRT15;geral
2025-02-21;00323060320248179000;TJPE;geral
2025-02-21;08151442720248190004;TJRJ;geral
2025-02-21;08205486720238100029;TJMA;geral
2025-02-21;00001746520235140041;TRT14;filtrado
2025-02-21;00080407520128100040;TJMA;geral
2025-02-21;00005001420245140001;TRT14;filtrado
2025-02-21;00003375220245140092;TRT14;filtrado
2025-02-21;08007598020238140123;TJPA;filtrado
2025-02-21;00001681520245140141;TRT14;filtrado
2025-02-21;00081410820245050000;TST;geral
2025-02-21;00001581020245140031;TRT14;filtrado
2025-02-21;00122034720225150109;TRT15;geral
2025-02-21;57413882920248090051;TJGO;geral
2025-02-21;00006735920245140091;TRT14;filtrado
2025-02-21;00005129620245090670;TST;geral
2025-02-21;00005076620245220103;TRT22;filtrado
2025-02-21;70522416820228220001;TJRO;geral
2025-02-21;00006809620245220004;TRT22;filtrado
2025-02-21;00006037920245140402;TRT14;filtrado
2025-02-21;00000284120158100081;TJMA;geral
2025-02-21;08025508320218140049;TJPA;geral
2025-02-21;01005767920215010044;TST;geral
2025-02-21;00007704420235220003;TRT22;filtrado
2025-02-21;00000863020245140061;TRT14;filtrado
2025-02-21;80000854720248050209;TJBA;geral
2025-02-21;01214005720075010074;TRT1;geral
2025-02-21;08020737120218205100;TJRN;geral
2025-02-21;00001413020235200002;TRT20;filtrado
2025-02-21;00006517620258179000;TJPE;geral
2025-02-21;08021536720258200000;TJRN;geral
2025-02-21;00008734720235140141;TRT14;filtrado
2025-02-21;07127461720218010001;TJAC;geral
